_id,team_played,innings_type,innings_Played,total_runs,total_fours,total_sixes,highest_runs,fiftys,hundreds,zeros,total_balls,outs,not_outs,total_strike_rate,average,player_name,player_full_name
Mohnish  Mishra,"Brabourne Stadium, Mumbai",2nd_innings,1,5,0,0,5,0,0,0,7,1,0,71.42857142857143,5.0,MD Mishra,Mohnish  Mishra
Mohnish  Mishra,"Dr DY Patil Sports Academy, Mumbai",2nd_innings,3,52,3,3,37,0,0,0,38,2,1,136.8421052631579,26.0,MD Mishra,Mohnish  Mishra
Mohnish  Mishra,"Dr DY Patil Sports Academy, Mumbai",1st_innings,3,9,0,0,7,0,0,0,21,3,0,42.857142857142854,3.0,MD Mishra,Mohnish  Mishra
Mohnish  Mishra,"Eden Gardens, Kolkata",2nd_innings,1,29,6,0,29,0,0,0,16,1,0,181.25,29.0,MD Mishra,Mohnish  Mishra
Mohnish  Mishra,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2nd_innings,1,20,4,0,20,0,0,0,21,1,0,95.23809523809523,20.0,MD Mishra,Mohnish  Mishra
Mohnish  Mishra,"M Chinnaswamy Stadium, Bengaluru",2nd_innings,1,9,2,0,9,0,0,0,11,1,0,81.81818181818183,9.0,MD Mishra,Mohnish  Mishra
Mohnish  Mishra,"MA Chidambaram Stadium, Chepauk, Chennai",2nd_innings,1,9,1,0,9,0,0,0,9,1,0,100.0,9.0,MD Mishra,Mohnish  Mishra
Mohnish  Mishra,"Maharashtra Cricket Association Stadium, Pune",2nd_innings,1,4,1,0,4,0,0,0,4,1,0,100.0,4.0,MD Mishra,Mohnish  Mishra
Mohnish  Mishra,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",2nd_innings,1,21,2,1,21,0,0,0,18,1,0,116.66666666666667,21.0,MD Mishra,Mohnish  Mishra
Mohnish  Mishra,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1st_innings,1,41,1,3,41,0,0,0,30,1,0,136.66666666666666,41.0,MD Mishra,Mohnish  Mishra
Mohnish  Mishra,"Wankhede Stadium, Mumbai",1st_innings,1,12,2,0,12,0,0,0,10,1,0,120.0,12.0,MD Mishra,Mohnish  Mishra
Pragyan Ojha,"Arun Jaitley Stadium, Delhi",2nd_innings,2,0,0,0,0,0,0,0,3,2,0,0.0,0.0,PP Ojha,Pragyan Ojha
Pragyan Ojha,"Brabourne Stadium, Mumbai",1st_innings,1,1,0,0,1,0,0,0,1,0,1,100.0,1.0,PP Ojha,Pragyan Ojha
Pragyan Ojha,"Brabourne Stadium, Mumbai",2nd_innings,1,2,0,0,2,0,0,0,2,1,0,100.0,2.0,PP Ojha,Pragyan Ojha
Pragyan Ojha,"Buffalo Park, East London",2nd_innings,1,0,0,0,0,0,0,0,2,1,0,0.0,0.0,PP Ojha,Pragyan Ojha
