_id,team_played,innings_type,innings_Played,total_runs,total_fours,total_sixes,highest_runs,fiftys,hundreds,zeros,total_balls,outs,not_outs,total_strike_rate,average,player_name,player_full_name
Jaydev Unadkat,Kolkata Knight Riders,1st_innings,3,27,3,1,26,0,0,0,19,1,2,142.10526315789474,27.0,JD Unadkat,Jaydev Unadkat
Jaydev Unadkat,Lucknow Super Giants,2nd_innings,2,15,2,1,14,0,0,0,7,2,0,214.28571428571428,7.5,JD Unadkat,Jaydev Unadkat
Jaydev Unadkat,Mumbai Indians,2nd_innings,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,JD Unadkat,Jaydev Unadkat
Jaydev Unadkat,Punjab Kings,2nd_innings,3,13,0,1,12,0,0,0,9,2,1,144.44444444444443,6.5,JD Unadkat,Jaydev Unadkat
Jaydev Unadkat,Punjab Kings,1st_innings,3,6,0,0,6,0,0,0,9,2,1,66.66666666666666,3.0,JD Unadkat,Jaydev Unadkat
Jaydev Unadkat,Royal Challengers Bangalore,2nd_innings,1,9,1,0,9,0,0,0,7,1,0,128.57142857142858,9.0,JD Unadkat,Jaydev Unadkat
Jaydev Unadkat,Royal Challengers Bangalore,1st_innings,2,15,1,0,13,0,0,0,19,0,2,78.94736842105263,15.0,JD Unadkat,Jaydev Unadkat
Jaydev Unadkat,Sunrisers Hyderabad,1st_innings,3,2,0,0,1,0,0,0,3,1,2,66.66666666666666,2.0,JD Unadkat,Jaydev Unadkat
Ishant Sharma,Chennai Super Kings,1st_innings,2,14,1,1,10,0,0,0,6,0,2,233.33333333333334,14.0,I Sharma,Ishant Sharma
Ishant Sharma,Chennai Super Kings,2nd_innings,3,7,0,0,6,0,0,0,16,0,3,43.75,7.0,I Sharma,Ishant Sharma
Ishant Sharma,Kolkata Knight Riders,2nd_innings,1,1,0,0,1,0,0,0,1,0,1,100.0,1.0,I Sharma,Ishant Sharma
Ishant Sharma,Mumbai Indians,2nd_innings,3,7,1,0,6,0,0,0,5,0,3,140.0,7.0,I Sharma,Ishant Sharma
Ishant Sharma,Mumbai Indians,1st_innings,2,4,1,0,4,0,0,0,5,1,1,80.0,4.0,I Sharma,Ishant Sharma
Ishant Sharma,Pune Warriors India,1st_innings,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,I Sharma,Ishant Sharma
Ishant Sharma,Punjab Kings,2nd_innings,1,0,0,0,0,0,0,0,1,0,1,0.0,0.0,I Sharma,Ishant Sharma
Ishant Sharma,Rajasthan Royals,1st_innings,3,3,0,0,2,0,0,0,2,0,3,150.0,3.0,I Sharma,Ishant Sharma
Ishant Sharma,Rajasthan Royals,2nd_innings,2,2,0,0,1,0,0,0,2,1,1,100.0,2.0,I Sharma,Ishant Sharma
Ishant Sharma,Rising Pune Supergiant,1st_innings,1,1,0,0,1,0,0,0,5,1,0,20.0,1.0,I Sharma,Ishant Sharma
Ishant Sharma,Royal Challengers Bangalore,2nd_innings,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,I Sharma,Ishant Sharma
Ishant Sharma,Royal Challengers Bangalore,1st_innings,1,0,0,0,0,0,0,0,2,1,0,0.0,0.0,I Sharma,Ishant Sharma
Ishant Sharma,Sunrisers Hyderabad,1st_innings,3,10,0,1,9,0,0,0,10,1,2,100.0,10.0,I Sharma,Ishant Sharma
Ishant Sharma,Sunrisers Hyderabad,2nd_innings,2,7,1,0,5,0,0,0,7,1,1,100.0,7.0,I Sharma,Ishant Sharma
Kamlesh Nagarkoti,Chennai Super Kings,2nd_innings,1,0,0,0,0,0,0,0,2,1,0,0.0,0.0,KL Nagarkoti,Kamlesh Nagarkoti
Kamlesh Nagarkoti,Chennai Super Kings,1st_innings,1,0,0,0,0,0,0,0,2,1,0,0.0,0.0,KL Nagarkoti,Kamlesh Nagarkoti
