_id,team_played,innings_Played,total_runs,total_fours,total_sixes,highest_runs,fiftys,hundreds,zeros,total_balls,outs,not_outs,total_strike_rate,average,player_name,player_full_name
Dimitri Mascarenhas,Kolkata Knight Riders,3,36,3,0,27,0,0,0,39,3,0,92.3076923076923,12.0,AD Mascarenhas,Dimitri Mascarenhas
Dimitri Mascarenhas,Mumbai Indians,1,9,0,0,9,0,0,0,7,0,1,128.57142857142858,9.0,AD Mascarenhas,Dimitri Mascarenhas
Dimitri Mascarenhas,Pune Warriors India,1,5,0,0,5,0,0,0,5,1,0,100.0,5.0,AD Mascarenhas,Dimitri Mascarenhas
Dimitri Mascarenhas,Punjab Kings,1,4,1,0,4,0,0,0,2,1,0,200.0,4.0,AD Mascarenhas,Dimitri Mascarenhas
Dimitri Mascarenhas,Royal Challengers Bangalore,1,0,0,0,0,0,0,0,1,1,0,0.0,0.0,AD Mascarenhas,Dimitri Mascarenhas
Dimitri Mascarenhas,Sunrisers Hyderabad,1,5,0,0,5,0,0,0,5,0,1,100.0,5.0,AD Mascarenhas,Dimitri Mascarenhas
Rahul Tewatia,Chennai Super Kings,7,68,3,3,20,0,0,0,69,4,3,98.55072463768117,17.0,R Tewatia,Rahul Tewatia
Rahul Tewatia,Delhi Capitals,6,114,7,6,38,0,0,0,94,5,1,121.27659574468086,22.8,R Tewatia,Rahul Tewatia
Rahul Tewatia,Kolkata Knight Riders,7,127,12,4,44,0,0,0,103,6,1,123.3009708737864,21.166666666666668,R Tewatia,Rahul Tewatia
Rahul Tewatia,Lucknow Super Giants,3,64,9,2,40,0,0,0,42,0,3,152.38095238095238,64.0,R Tewatia,Rahul Tewatia
Rahul Tewatia,Mumbai Indians,6,63,2,4,20,0,0,0,52,4,2,121.15384615384615,15.75,R Tewatia,Rahul Tewatia
Rahul Tewatia,Punjab Kings,9,135,3,11,53,1,0,0,99,7,2,136.36363636363635,19.285714285714285,R Tewatia,Rahul Tewatia
